"","Nyckeltal","Kommun.Landsting","År","Visat.Värde"
"1","Invånare 65+ i särskilda boendeformer, andel (%)","Alla kommuner (ovägt medel)",2008,"5.82177999"
"2","Invånare 65+ i särskilda boendeformer, andel (%)","Alla kommuner (ovägt medel)",2009,"5.59094811"
"3","Invånare 65+ i särskilda boendeformer, andel (%)","Alla kommuner (ovägt medel)",2010,"5.37238212"
"4","Invånare 65+ i särskilda boendeformer, andel (%)","Alla kommuner (ovägt medel)",2011,"5.13598869"
"5","Invånare 65+ i särskilda boendeformer, andel (%)","Ale",2008,"6.059831"
"6","Invånare 65+ i särskilda boendeformer, andel (%)","Ale",2009,"5.457909"
"7","Invånare 65+ i särskilda boendeformer, andel (%)","Ale",2010,"5.181918"
"8","Invånare 65+ i särskilda boendeformer, andel (%)","Ale",2011,"4.840764"
"9","Invånare 65+ i särskilda boendeformer, andel (%)","Alingsås",2008,"5.925593"
"10","Invånare 65+ i särskilda boendeformer, andel (%)","Alingsås",2009,"5.607607"
"11","Invånare 65+ i särskilda boendeformer, andel (%)","Alingsås",2010,"5.328645"
"12","Invånare 65+ i särskilda boendeformer, andel (%)","Alingsås",2011,"5.229273"
"13","Invånare 65+ i särskilda boendeformer, andel (%)","Alvesta",2008,"4.734379"
"14","Invånare 65+ i särskilda boendeformer, andel (%)","Alvesta",2009,"6.195852"
"15","Invånare 65+ i särskilda boendeformer, andel (%)","Alvesta",2010,"6.152648"
"16","Invånare 65+ i särskilda boendeformer, andel (%)","Alvesta",2011,"6.121933"
"17","Invånare 65+ i särskilda boendeformer, andel (%)","Aneby",2008,"5.52442"
"18","Invånare 65+ i särskilda boendeformer, andel (%)","Aneby",2009,"5.529595"
"19","Invånare 65+ i särskilda boendeformer, andel (%)","Aneby",2010,"4.454685"
"20","Invånare 65+ i särskilda boendeformer, andel (%)","Aneby",2011,"4.354469"
"21","Invånare 65+ i särskilda boendeformer, andel (%)","Arboga",2008,"6.456044"
"22","Invånare 65+ i särskilda boendeformer, andel (%)","Arboga",2009,"6.350245"
"23","Invånare 65+ i särskilda boendeformer, andel (%)","Arboga",2010,"6.408629"
"24","Invånare 65+ i särskilda boendeformer, andel (%)","Arboga",2011,"5.810022"
"25","Invånare 65+ i särskilda boendeformer, andel (%)","Arjeplog",2008,"6.306306"
"26","Invånare 65+ i särskilda boendeformer, andel (%)","Arjeplog",2009,"7.41206"
"27","Invånare 65+ i särskilda boendeformer, andel (%)","Arjeplog",2010,"7.25"
"28","Invånare 65+ i särskilda boendeformer, andel (%)","Arjeplog",2011,"7.283951"
"29","Invånare 65+ i särskilda boendeformer, andel (%)","Arvidsjaur",2008,"7.223881"
"30","Invånare 65+ i särskilda boendeformer, andel (%)","Arvidsjaur",2009,"7.551622"
"31","Invånare 65+ i särskilda boendeformer, andel (%)","Arvidsjaur",2010,"7.147042"
"32","Invånare 65+ i särskilda boendeformer, andel (%)","Arvidsjaur",2011,"6.984866"
"33","Invånare 65+ i särskilda boendeformer, andel (%)","Arvika",2008,"6.156552"
"34","Invånare 65+ i särskilda boendeformer, andel (%)","Arvika",2009,"6.050681"
