Kommun/Landsting;Nyckeltal;År;Visat Värde
Alla kommuner (ovägt medel);Arbetslöshet, (%);2008;3.83894583
Alla kommuner (ovägt medel);Arbetslöshet, (%);2009;6.15556617
Alla kommuner (ovägt medel);Arbetslöshet, (%);2010;8.01738872
Alla kommuner (ovägt medel);Arbetslöshet, (%);2011;6.99765432
Alla kommuner (ovägt medel);Arbetslöshet, (%);2012;7.06254083
Alla kommuner (ovägt medel);Förvärvsarbetande i kommun-/landstingssektor, andel (%);2008;26.185976
Alla kommuner (ovägt medel);Förvärvsarbetande i kommun-/landstingssektor, andel (%);2009;26.34565119
Alla kommuner (ovägt medel);Förvärvsarbetande i kommun-/landstingssektor, andel (%);2010;25.84428702
Alla kommuner (ovägt medel);Förvärvsarbetande i privat sektor, andel (%);2008;66.10301697
Alla kommuner (ovägt medel);Förvärvsarbetande i privat sektor, andel (%);2009;65.80910186
Alla kommuner (ovägt medel);Förvärvsarbetande i privat sektor, andel (%);2010;66.58074041
Alla kommuner (ovägt medel);Förvärvsarbetande i övriga sektorer, andel (%);2008;3.84089844
Alla kommuner (ovägt medel);Förvärvsarbetande i övriga sektorer, andel (%);2009;3.95648018
Alla kommuner (ovägt medel);Förvärvsarbetande i övriga sektorer, andel (%);2010;3.84425804
Alla kommuner (ovägt medel);Förvärvsarbetande invånare 16-19 år, andel (%);2008;20.26989394
Alla kommuner (ovägt medel);Förvärvsarbetande invånare 16-19 år, andel (%);2009;16.72633131
Alla kommuner (ovägt medel);Förvärvsarbetande invånare 16-19 år, andel (%);2010;19.50435075
Alla kommuner (ovägt medel);Förvärvsarbetande invånare 20-24 år, andel (%);2008;64.72826676
Alla kommuner (ovägt medel);Förvärvsarbetande invånare 20-24 år, andel (%);2009;56.51450379
Alla kommuner (ovägt medel);Förvärvsarbetande invånare 20-24 år, andel (%);2010;60.72625588
Alla kommuner (ovägt medel);Förvärvsarbetande invånare 20-64 år, andel (%);2008;79.04751895
Alla kommuner (ovägt medel);Förvärvsarbetande invånare 20-64 år, andel (%);2009;76.06465801
Alla kommuner (ovägt medel);Förvärvsarbetande invånare 20-64 år, andel (%);2010;77.43666116
Alla kommuner (ovägt medel);Förvärvsarbetande invånare 25-34 år, andel (%);2008;79.82276429
Alla kommuner (ovägt medel);Förvärvsarbetande invånare 25-34 år, andel (%);2009;75.20568338
Alla kommuner (ovägt medel);Förvärvsarbetande invånare 25-34 år, andel (%);2010;76.43040125
Alla kommuner (ovägt medel);Förvärvsarbetande invånare 35-49 år, andel (%);2008;85.99518646
Alla kommuner (ovägt medel);Förvärvsarbetande invånare 35-49 år, andel (%);2009;83.89610754
