Kommun/Landsting;Nyckeltal;År;Visat Värde
Stockholms län (ovägt medel);Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, fristående skolor, andel (%);1998;81.17109845
Stockholms län (ovägt medel);Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, fristående skolor, andel (%);1999;79.87288858
Stockholms län (ovägt medel);Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, fristående skolor, andel (%);2000;89.68871591
Stockholms län (ovägt medel);Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, fristående skolor, andel (%);2001;82.900259
Stockholms län (ovägt medel);Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, fristående skolor, andel (%);2002;87.09203122
Stockholms län (ovägt medel);Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, fristående skolor, andel (%);2003;93.37778116
Stockholms län (ovägt medel);Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, fristående skolor, andel (%);2004;89.91581245
Stockholms län (ovägt medel);Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, fristående skolor, andel (%);2005;91.13932
Stockholms län (ovägt medel);Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, fristående skolor, andel (%);2006;91.3163649
Stockholms län (ovägt medel);Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, fristående skolor, andel (%);2007;92.5963469
Stockholms län (ovägt medel);Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, fristående skolor, andel (%);2008;92.57355481
Stockholms län (ovägt medel);Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, fristående skolor, andel (%);2009;90.24765126
Stockholms län (ovägt medel);Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, fristående skolor, andel (%);2010;93.27711354
Stockholms län (ovägt medel);Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, fristående skolor, andel (%);2011;94.49396595
Stockholms län (ovägt medel);Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, fristående skolor, andel (%);2012;92.99460068
Stockholms län (ovägt medel);Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, kommunala skolor, andel (%);1998;90.36974236
Stockholms län (ovägt medel);Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, kommunala skolor, andel (%);1999;90.22440838
Stockholms län (ovägt medel);Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, kommunala skolor, andel (%);2000;88.9888308
Stockholms län (ovägt medel);Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, kommunala skolor, andel (%);2001;88.85158688
Stockholms län (ovägt medel);Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, kommunala skolor, andel (%);2002;89.59971542
Stockholms län (ovägt medel);Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, kommunala skolor, andel (%);2003;89.72240357
Stockholms län (ovägt medel);Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, kommunala skolor, andel (%);2004;89.66341769
Stockholms län (ovägt medel);Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, kommunala skolor, andel (%);2005;90.18129057
Stockholms län (ovägt medel);Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, kommunala skolor, andel (%);2006;91.33017423
Stockholms län (ovägt medel);Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, kommunala skolor, andel (%);2007;90.35594819
Stockholms län (ovägt medel);Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, kommunala skolor, andel (%);2008;90.0548168
Stockholms län (ovägt medel);Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, kommunala skolor, andel (%);2009;89.97563673
Stockholms län (ovägt medel);Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, kommunala skolor, andel (%);2010;89.70607973
Stockholms län (ovägt medel);Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, kommunala skolor, andel (%);2011;88.52711532
Stockholms län (ovägt medel);Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, kommunala skolor, andel (%);2012;88.2440114
Stockholms län (ovägt medel);Kostnad individ- och familjeomsorg, kr/inv;1996;2462.68
Stockholms län (ovägt medel);Kostnad individ- och familjeomsorg, kr/inv;1997;2548.44
