"","PID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","NL_NAME_2","VARNAME_2","TYPE_2","ENGTYPE_2"
"1",32950,220,"SWE","Sweden",1,"Blekinge",4,"Ronneby","","","Kommuner","Municipality"
"2",32951,220,"SWE","Sweden",1,"Blekinge",5,"Sölvesborg","","","Kommuner","Municipality"
"3",32952,220,"SWE","Sweden",2,"Dalarna",6,"Älvdalen","","","Kommuner","Municipality"
"4",32953,220,"SWE","Sweden",2,"Dalarna",7,"Avesta","","","Kommuner","Municipality"
"5",32954,220,"SWE","Sweden",2,"Dalarna",8,"Borlänge","","","Kommuner","Municipality"
"6",32955,220,"SWE","Sweden",2,"Dalarna",9,"Falun","","","Kommuner","Municipality"
"7",32956,220,"SWE","Sweden",2,"Dalarna",10,"Gagnef","","","Kommuner","Municipality"
"8",32957,220,"SWE","Sweden",2,"Dalarna",11,"Hedemora","","","Kommuner","Municipality"
"9",32958,220,"SWE","Sweden",2,"Dalarna",12,"Leksand","","","Kommuner","Municipality"
"10",32959,220,"SWE","Sweden",2,"Dalarna",13,"Ludvika","","","Kommuner","Municipality"
"11",32960,220,"SWE","Sweden",2,"Dalarna",14,"Malung","","","Kommuner","Municipality"
"12",32961,220,"SWE","Sweden",2,"Dalarna",15,"Mora","","","Kommuner","Municipality"
"13",32962,220,"SWE","Sweden",2,"Dalarna",16,"Orsa","","","Kommuner","Municipality"
"14",32963,220,"SWE","Sweden",2,"Dalarna",17,"Rättvik","","","Kommuner","Municipality"
"15",32964,220,"SWE","Sweden",2,"Dalarna",18,"Säter","","","Kommuner","Municipality"
"16",32965,220,"SWE","Sweden",2,"Dalarna",19,"Smedjebacken","","","Kommuner","Municipality"
"17",32966,220,"SWE","Sweden",2,"Dalarna",20,"Vansbro","","","Kommuner","Municipality"
"18",32967,220,"SWE","Sweden",3,"Gävleborg",21,"Bollnäs","","","Kommuner","Municipality"
"19",32968,220,"SWE","Sweden",3,"Gävleborg",22,"Gävle","","","Kommuner","Municipality"
"20",32969,220,"SWE","Sweden",3,"Gävleborg",23,"Hofors","","","Kommuner","Municipality"
"21",32970,220,"SWE","Sweden",3,"Gävleborg",24,"Hudiksvall","","","Kommuner","Municipality"
"22",32971,220,"SWE","Sweden",3,"Gävleborg",25,"Ljusdal","","","Kommuner","Municipality"
"23",32972,220,"SWE","Sweden",3,"Gävleborg",26,"Nordanstig","","","Kommuner","Municipality"
"24",32973,220,"SWE","Sweden",3,"Gävleborg",27,"Ockelbo","","","Kommuner","Municipality"
"25",32974,220,"SWE","Sweden",3,"Gävleborg",28,"Ovanåker","","","Kommuner","Municipality"
"26",33859,220,"SWE","Sweden",1,"Blekinge",1,"Karlshamn","","","Kommuner","Municipality"
"27",33860,220,"SWE","Sweden",1,"Blekinge",2,"Karlskrona","","","Kommuner","Municipality"
"28",33861,220,"SWE","Sweden",1,"Blekinge",3,"Olofström","","","Kommuner","Municipality"
"29",33862,220,"SWE","Sweden",3,"Gävleborg",29,"Sandviken","","","Kommuner","Municipality"
"30",33863,220,"SWE","Sweden",3,"Gävleborg",30,"Söderhamn","","","Kommuner","Municipality"
"31",33864,220,"SWE","Sweden",4,"Gotland",31,"Gotland","","","Kommuner","Municipality"
"32",33865,220,"SWE","Sweden",5,"Halland",32,"Falkenberg","","","Kommuner","Municipality"
"33",33866,220,"SWE","Sweden",5,"Halland",33,"Halmstad","","","Kommuner","Municipality"
"34",33867,220,"SWE","Sweden",5,"Halland",34,"Hylte","","","Kommuner","Municipality"
"35",33868,220,"SWE","Sweden",5,"Halland",35,"Kungsbacka","","","Kommuner","Municipality"
"36",33869,220,"SWE","Sweden",5,"Halland",36,"Laholm","","","Kommuner","Municipality"
"37",33870,220,"SWE","Sweden",5,"Halland",37,"Varberg","","","Kommuner","Municipality"
"38",33871,220,"SWE","Sweden",6,"Jämtland",38,"Åre","","","Kommuner","Municipality"
"39",33872,220,"SWE","Sweden",6,"Jämtland",39,"Berg","","","Kommuner","Municipality"
"40",33873,220,"SWE","Sweden",6,"Jämtland",40,"Bräcke","","","Kommuner","Municipality"
"41",33874,220,"SWE","Sweden",6,"Jämtland",41,"Härjedalen","","","Kommuner","Municipality"
"42",33875,220,"SWE","Sweden",6,"Jämtland",42,"Krokom","","","Kommuner","Municipality"
"43",33876,220,"SWE","Sweden",6,"Jämtland",43,"Östersund","","","Kommuner","Municipality"
"44",33877,220,"SWE","Sweden",6,"Jämtland",44,"Ragunda","","","Kommuner","Municipality"
"45",33878,220,"SWE","Sweden",6,"Jämtland",45,"Strömsund","","","Kommuner","Municipality"
"46",33879,220,"SWE","Sweden",7,"Jönköping",46,"Aneby","","","Kommuner","Municipality"
"47",33880,220,"SWE","Sweden",7,"Jönköping",47,"Eksjö","","","Kommuner","Municipality"
"48",33881,220,"SWE","Sweden",7,"Jönköping",48,"Gislaved","","","Kommuner","Municipality"
"49",33882,220,"SWE","Sweden",7,"Jönköping",49,"Gnosjö","","","Kommuner","Municipality"
"50",33883,220,"SWE","Sweden",7,"Jönköping",50,"Jönköping","","","Kommuner","Municipality"
"51",33884,220,"SWE","Sweden",7,"Jönköping",51,"Nässjö","","","Kommuner","Municipality"
"52",33885,220,"SWE","Sweden",7,"Jönköping",52,"Sävsjö","","","Kommuner","Municipality"
"53",33886,220,"SWE","Sweden",7,"Jönköping",53,"Tranås","","","Kommuner","Municipality"
"54",33887,220,"SWE","Sweden",7,"Jönköping",54,"Vaggeryd","","","Kommuner","Municipality"
"55",33888,220,"SWE","Sweden",7,"Jönköping",55,"Värnamo","","","Kommuner","Municipality"
"56",33889,220,"SWE","Sweden",7,"Jönköping",56,"Vetlanda","","","Kommuner","Municipality"
"57",33890,220,"SWE","Sweden",8,"Kalmar",57,"Borgholm","","","Kommuner","Municipality"
"58",33891,220,"SWE","Sweden",8,"Kalmar",58,"Emmaboda","","","Kommuner","Municipality"
"59",33892,220,"SWE","Sweden",8,"Kalmar",59,"Högsby","","","Kommuner","Municipality"
"60",33893,220,"SWE","Sweden",8,"Kalmar",60,"Hultsfred","","","Kommuner","Municipality"
"61",33894,220,"SWE","Sweden",8,"Kalmar",61,"Kalmar","","","Kommuner","Municipality"
"62",33895,220,"SWE","Sweden",8,"Kalmar",62,"Mönsterås","","","Kommuner","Municipality"
"63",33896,220,"SWE","Sweden",8,"Kalmar",63,"Mörbylånga","","","Kommuner","Municipality"
"64",33897,220,"SWE","Sweden",8,"Kalmar",64,"Nybro","","","Kommuner","Municipality"
"65",33898,220,"SWE","Sweden",8,"Kalmar",65,"Oskarshamn","","","Kommuner","Municipality"
"66",33899,220,"SWE","Sweden",8,"Kalmar",66,"Torsås","","","Kommuner","Municipality"
"67",33900,220,"SWE","Sweden",8,"Kalmar",67,"Västervik","","","Kommuner","Municipality"
"68",33901,220,"SWE","Sweden",8,"Kalmar",68,"Vimmerby","","","Kommuner","Municipality"
"69",33902,220,"SWE","Sweden",9,"Kronoberg",69,"Älmhult","","","Kommuner","Municipality"
