key	value
1	\nAntal avslutade deltagare i arbetsmarknadsenhetens verksamhet som varit i utanförskap mindre än 6 månader innan de skrevs in vid AME dividerat med totalt antal avslutade deltagare i arbetsmarknadsenhetens verksamhet. Med utanförskap avses arbetslöshet (
2	1-årsöverlevnad för patienter som diagnostiserats med lungcancer, %. Avser patienter diagnosticerade mellan åren T-6 till år T med uppföljning t.o.m. december år T. Källa Socialstyrelsen Cancerregistret
3	28-dagars dödlighet efter stroke bland förstagångsfall som vårdats på sjukhus. Andelen döda inom 28 dagar bland förstagångsfall av stroke under en treårsperiod (år T-2 till år T). Förstagångsfall har skattats med krav på sju år utan föregående strokediagn
4	28-dagars dödlighet efter stroke. Andelen döda inom 28 dagar bland förstagångsfall av stroke under treårsperiod (år T-2 till år T). Förstagångsfall har skattats med krav på sju år utan föregående strokediagnos. Uppgifterna är åldersstandardiserade för att
5	Akut hjärtinfarkt, attacker per 100 000 invånare 20 år och äldre, år T-4 till år T. Uppgifterna är åldersstandardiserade. Huvud- eller bidiagnos från slutenvård samt fall med underliggande eller bidragande dödsorsak enligt dödsorsaksregistret. Källa Slute
6	Alla nybyggnadskarteärenden (inkl förenklade). Källa: Egen uppgift från kommunen
7	Allmän kommunalskatt kommun, kr dividerat med antal invånare totalt 31/12.
8	Andel (%) av avgångseleverna som uppnått målen, d v s betyget Godkänd eller högre, i samtliga ämnen under läsåret. Uppgifterna avser elever i fristående skolor i kommunen oberoende av var de är folkbokförda. Källa Skolverket (Siris)
9	Andel (%) av avgångseleverna som uppnått målen, d v s betyget Godkänd eller högre, i samtliga ämnen under läsåret. Uppgifterna avser elever i kommunala och fristående skolor i kommunen oberoende av var de är folkbokförda. Källa Skolverket (Siris)
10	Andel (%) av avgångseleverna som uppnått målen, d v s betyget Godkänd eller högre, i samtliga ämnen under läsåret. Uppgifterna avser elever i kommunala skolor i kommunen oberoende av var de är folkbokförda. Källa Skolverket (Siris).
11	Andel (%) av befolkningen i åldern 16-74 år som inte har eftergymnasial utbildning längre än tre år. Källa SCB
12	Andel (%) av de som ringer kommunen för att få svar på en enkel fråga som får kontakt med en handläggare. Under en fastställd period ställs ett antal relevanta frågor av enklare karaktär genom telefonsamtal till kommunen vid ett antal tillfällen. Uppringn
13	Andel (%) av kommunens folkbokförda elever som erhålligt slutbetyg från gymnasieskolans specialutformade program och registrerats som nybörjare vid universitet eller högskola under samma år. Källa: SCB\n
14	Andel (%) av kommunens folkbokförda elever som erhålligt slutbetyg från gymnasieskolans studieförberedande program och registrerats som nybörjare vid universitet eller högskola under samma år. Källa: SCB\n
15	Andel (%) av kommunens folkbokförda elever som erhålligt slutbetyg från gymnasieskolans yrkesförberedande program och registrerats som nybörjare vid universitet eller högskola under samma år. Källa: SCB
16	Andel (%) av kommunens folkbokförda elever år 1 i gymnasieskolan som inte fanns i gymnasieskolan något av de två närmast föregående åren och som erhållit slutbetyg eller motsvarande inom loppet av fyra läsår. Uppgifterna avser elever i gymnasieskolan folk
17	Andel (%) av kommunens invånare som bor i tätort. Som tätort räknas hussamlingar med minst 200 invånare, såvida avståndet mellan husen normalt inte överstiger 200 m. Källa SCB.
18	Andel (%) av maxpoäng. Indexet visar en samlad bild av hur väl kommunen möjliggör för medborgarna att delta i kommunens utveckling. Poängen baseras på 19 frågor om möjligheterna till medborgardelaktighet i kommunen. Källa: Egen undersökning i kommunen
19	Andel (%) av medborgarna som inom två arbetsdagar får svar på en enkel fråga via e-post. Frågorna skickas till kommunens centrala e-postadress. Tiden mäts sedan i arbetsdagar från det att e-postfrågan har inkommit till dessa att ett svar skickats. Källa: 
20	Andel (%) av medborgarna som uppfattar att de får ett gott bemötande när de kontaktar kommunen kring en enkel fråga. Baseras på en subjektiv bedömning av frågeställaren utifrån tre nivåer; god, medelgod och dålig. Procentsatsen gäller enbart för gott bemö
21	Andel (%) av uppskattat antal patienter med sekundärprogressiv MS som behandlas med bromsmediciner. Avser augusti månad. Källa: Svenska MS registret
22	Andel (%) av uppskattat antal patienter med skovvist fortlöpande MS som haft sjukdomen kortare än 15 år och som behandlas med bromsmediciner. Avsedde alla patienter oavsett längd på sjukdomen innan år 2010. Avser augusti månad. Källa: Svenska MS registret
23	Andel (%) av värdet i kronor av totala livsmedelinköp i landstinget. Avser KRAV-märkt och andra ekologiska livsmedel enligt EU-förordning. Källa Egna uppgifter i landstinget\n
24	Andel (%) barn 0-17 år med svensk eller utländsk bakgrund som finns i ekonomiskt utsatta hushåll. Med ekonomiskt utsatta menas hushåll med låg inkomst eller socialbidrag. Med låg inkomst menas lägsta utgiftsnivå baserad på den socialbidragsnorm som fastst
25	Andel (%) barn som erbjudits plats före eller på önskat placeringsdatum. Om önskat placeringsdatum infaller på lördag, söndag eller helgdag räknas första kommande vardag som önskat placeringsdatum. Mätperiod årets 6 första månader. Källa: Egen undersöknin
26	Andel (%) cancerpatienter för vilka det fanns ordination för injektion av opioid (morfinpreparat mot smärta) vid behov, senast ett dygn före dödsfallet. Måttet avser bara de patienter där dödfallet enligt vårdgivarens bedömning var väntat. Täljare: Antale
27	Andel (%) cancerpatienter som under den sista levnadsveckan vid minst ett tillfälle skattade sin smärta med instrumentet VAS/NRS. Täljare: Antalet cancerpatienter som under den sista levnadsveckan vid minst ett tillfälle skattat sin smärta med instrumente
28	Andel (%) elever i årskurs 9 utan betyg i ett, flera eller alla ämnen, kommunala skolor. Källa Skolverket
29	Andel (%) invånare 16-74 år med eftergymnasial utbildning. Källa Statistiska centralbyrån
30	Andel (%) invånare 18-80 år med bra självskattat hälsotillstånd. Resultatet baseras på data från de fyra befolkningsenkäterna Hälsa på lika villkor (Statens folkhälsoinstitut) år T-2 till år T, Liv & hälsa år T, Folkhälsa i Skåne år T samt Hälsoenkät Stoc
31	Andel (%) invånare 18-80 år med bra självskattat hälsotillstånd. Resultatet baseras på data från den nationella enkäten Hälsa på lika villkor (Statens folkhälsoinstitut) och frågan; Hur bedömer du ditt allmänna hälsotillstånd? Redovisas som andelen (%) so
32	Andel (%) invånare 18-80 år med fetma. Resultatet baseras utifrån självskattad längd och vikt där fetma innebär ett Body Mass Index (BMI) värde över 30. BMI beräknas enligt formeln vikt (kg)/längd (cm)2. Resultatet baseras på data från enkäterna Hälsa på 
33	Andel (%) invånare 18-80 år med fetma. Resultatet baseras utifrån självskattad längd och vikt i enkäten Hälsa på lika villkor (Statens folkhälsoinstitut) och där fetma innebär ett Body Mass Index (BMI) värde över 30. BMI beräknas enligt formeln vikt (kg)/
34	Andel (%) invånare 18-80 år med god självskattad tandhälsa. Data för tandhälsa kommer från enkäten Hälsa på lika villkor (Statens folkhälsoinstitut) och frågan; Hur tycker du att din tandhälsa är? Avser år T-2 till år T. Källa Statens folkhälsoinstitut
35	Andel (%) invånare 18-80 år med god självskattad tandhälsa. Data för tandhälsa kommer från enkäterna Hälsa på lika villkor (Statens folkhälsoinstitut) år T-2 till år T samt Liv & hälsa år T och frågan; Hur tycker du att din tandhälsa är? Källa Statens fol
36	Andel (%) invånare 18-80 år med låg tillit till andra. Resultaten är hämtade från den nationella enkäten Hälsa på lika villkor (Statens folkhälsoinstitut) och frågan; Tycker du att man i allmänhet kan lita på de flesta människor? Indikator redovisar låg t
37	Andel (%) invånare 18-80 år med lågt socialt deltagande. Resultaten är hämtade från den nationella enkäten Hälsa på lika villkor (Statens folkhälsoinstitut) och frågan; Har du deltagit i någon av följande aktiviteter (13 listade aktiviteter samt en övrig)
38	Andel (%) invånare 18-80 år med nedsatt psykiskt välbefinnande enligt instrumentet General Health Questionnaire (GHQ-12). Resultaten baseras på data från de fyra befolkningsenkäterna Hälsa på lika villkor (Statens folkhälsoinstitut), år T-2 till år T, Liv
39	Andel (%) invånare 18-80 år med nedsatt psykiskt välbefinnande enligt instrumentet General Health Questionnaire (GHQ-12). Resultaten är hämtade från den nationella enkäten Hälsa på lika villkor (Statens folkhälsoinstitut) som använder GHQ-12, som är utfor
40	Andel (%) invånare 18-80 år med riskabla alkoholvanor. Baseras på fyra frågor i befolkningsenkäten Hälsa på lika villkor (Statens folkhälsoinstitut), som tillsammans visar självskattad alkoholkonsumtion som kan betraktas som riskabel. Uppgiften avser år T
41	Andel (%) invånare 18-80 år med riskabla alkoholvanor. Baseras på fyra frågor i enkäterna Hälsa på lika villkor (Statens folkhälsoinstitut) år T-2 till år T samt Folkhälsa i Skåne år T, som tillsammans visar självskattad alkoholkonsumtion som kan betrakta
42	Andel (%) invånare 18-80 år med svårigheter att klara utgifter. Baseras på enkäterna Hälsa på lika villkor (Statens folkhälsoinstitut) och Liv & hälsa med frågan; Har det under de senaste 12 månaderna hänt att du haft svårigheter att klara de löpande utgi
43	Andel (%) invånare 18-80 år som avstår från att gå ut ensam. Resultaten är hämtade från den nationella enkäten Hälsa på lika villkor (Statens folkhälsoinstitut) samt i den regionala enkäten Liv & hälsa och frågan; Händer det att du avstår från att gå ut e
44	Andel (%) invånare 18-80 år som röker dagligen. Resultaten är hämtade från den nationella enkäten Hälsa på lika villkor (Statens folkhälsoinstitut) och frågan; Röker du dagligen? Resultaten Uppgiften avser år T-2 till år T. Källa Statens folkhälsoinstitut
45	Andel (%) invånare 18-80 år som röker dagligen. Resultaten är hämtade från enkäterna Hälsa på lika villkor (Statens folkhälsoinstitut) år T-2 till år T, Liv & hälsa år T, Folkhälsa i Skåne år T samt Hälsoenkät Stockholms län år T-2 och frågan; Röker du da
46	Andel (%) invånare 18-80 år som är fysiskt aktiva minst 30 minuter per dag. Data som beskriver fysisk aktivitet är hämtade från befolkningsenkäten Hälsa på lika villkor (Statens folkhälsoinstitut). Frågan är en kombination av två frågor som tillsammans sp
47	Andel (%) invånare 18-80 år som är fysiskt aktiva minst 30 minuter per dag. Data som beskriver fysisk aktivitet är hämtade från enkäterna Hälsa på lika villkor (Statens folkhälsoinstitut) år T-2 till år T samt Liv & hälsa år T. Indikatorn är en kombinatio
48	Andel (%) invånare 18-80 år som äter frukt och grönt minst 5 ggr per dag. Data kommer från enkäterna Hälsa på lika villkor (Statens folkhälsoinstitut) år T-2 till år T, Liv & hälsa år T samt Folkhälsa i Skåne år T och utgår från Statens folkhälsoinstituts
49	Andel (%) invånare 18-80 år som äter frukt och grönt minst 5 ggr per dag. Data om frukt och grönt kommer från två frågor i befolkningsenkäten Hälsa på lika villkor (Statens folkhälsoinstitut) och utgår från Statens folkhälsoinstituts definition av intag a
50	Andel (%) invånare 20 år med grundläggande behörighet till universitet och högskola. Måttet avser personer som är folkbokförda i kommunen. Källa Skolverket.
51	Andel (%) invånare 25-74 år med kort utbildning med bra självskattat hälsotillstånd. Med kort utbildning menas upp till tre års gymnasieutbildning. Resultatet baseras på data från den nationella enkäten Hälsa på lika villkor (Statens folkhälsoinstitut) oc
52	Andel (%) invånare 25-74 år med kort utbildning med fetma. Med kort utbildning menas upp till tre års gymnasieutbildning. Resultatet baseras utifrån självskattad längd och vikt i enkäten Hälsa på lika villkor (Statens folkhälsoinstitut) och där fetma inne
53	Andel (%) invånare 25-74 år med kort utbildning med god självskattad tandhälsa. Med kort utbildning menas upp till tre års gymnasieutbildning. Data för tandhälsa kommer från enkäten Hälsa på lika villkor (Statens folkhälsoinstitut) och frågan; Hur tycker 
54	Andel (%) invånare 25-74 år med kort utbildning med låg tillit till andra. Med kort utbildning menas upp till tre års gymnasieutbildning. Resultaten är hämtade från den nationella enkäten Hälsa på lika villkor (Statens folkhälsoinstitut) och frågan; Tycke
55	Andel (%) invånare 25-74 år med kort utbildning med lågt socialt deltagande. Med kort utbildning menas upp till tre års gymnasieutbildning. Resultaten är hämtade från den nationella enkäten Hälsa på lika villkor (Statens folkhälsoinstitut) och frågan; Har
56	Andel (%) invånare 25-74 år med kort utbildning med nedsatt psykiskt välbefinnande enligt instrumentet General Health Questionnaire (GHQ-12). Med kort utbildning menas upp till tre års gymnasieutbildning. Resultaten är hämtade från den nationella enkäten 
57	Andel (%) invånare 25-74 år med kort utbildning med riskabla alkoholvanor. Med kort utbildning menas upp till tre års gymnasieutbildning. Baseras på fyra frågor i befolkningsenkäten Hälsa på lika villkor (Statens folkhälsoinstitut), som tillsammans visar 
58	Andel (%) invånare 25-74 år med kort utbildning som avstår från att gå ut ensam. Med kort utbildning menas upp till tre års gymnasieutbildning. Resultaten är hämtade från den nationella enkäten Hälsa på lika villkor (Statens folkhälsoinstitut) samt i den 
59	Andel (%) invånare 25-74 år med kort utbildning som röker dagligen. Med kort utbildning menas upp till tre års gymnasieutbildning. Resultaten är hämtade från den nationella enkäten Hälsa på lika villkor (Statens folkhälsoinstitut) och frågan; Röker du dag
60	Andel (%) invånare 25-74 år med kort utbildning som är fysiskt aktiva minst 30 minuter per dag. Med kort utbildning menas upp till tre års gymnasieutbildning. Data som beskriver fysisk aktivitet är hämtade från befolkningsenkäten Hälsa på lika villkor (St
61	Andel (%) invånare 25-74 år med kort utbildning som äter frukt och grönt minst 5 ggr per dag. Med kort utbildning menas upp till tre års gymnasieutbildning. Data om frukt och grönt kommer från två frågor i befolkningsenkäten Hälsa på lika villkor (Statens
62	Andel (%) invånare 25-74 år med lång utbildning med bra självskattat hälsotillstånd. Med lång utbildning menas eftergymnasial utbildning. Resultatet baseras på data från den nationella enkäten Hälsa på lika villkor (Statens folkhälsoinstitut) och frågan; 
