key	value
1	Allmän kommunalskatt kommun, kr/inv
2	Andel elever i kommunens egen SFI-utbildning, (%)
3	Andra avsättningar kommun, kr/inv
4	Andra besök än läkarbesök, antal/1000 inv.
5	Andra besök än läkarbesök, barnhälsovård annan vårdgivare/1000 inv.
6	Andra besök än läkarbesök barnhälsovård, antal/1000 inv.
7	Andra besök än läkarbesök, barnhälsovård egen produktion, antal/1000 inv.
8	Andra besök än läkarbesök, mödrahälsovård annan vårdgivare/1000 inv.
9	Andra besök än läkarbesök mödrahälsovård, antal/1000 inv.
10	Andra besök än läkarbesök, mödrahälsovård egen produktion, antal/1000 inv.
11	Andra besök än läkarbesök, primärvård annan vårdgivare/1000 inv.
12	Andra besök än läkarbesök primärvård, antal/1000 inv.
13	Andra besök än läkarbesök, primärvård egen produktion/1000 inv.
14	Andra besök än läkarbesök, primärvård (exkl mvc/bvc) annan vårdgivare/1000 inv.
15	Andra besök än läkarbesök primärvård (exkl mvc/bvc), antal/1000 inv.
16	Andra besök än läkarbesök, primärvård (exkl mvc/bvc) egen produktion, antal/1000 inv.
17	Andra besök än läkarbesök specialiserad psykiatrisk vård annan vårdgivare, antal/1000 inv.
18	Andra besök än läkarbesök specialiserad psykiatrisk vård, antal/1000 inv.
19	Andra besök än läkarbesök specialiserad psykiatrisk vård egen prod, antal/1000 inv.
20	Andra besök än läkarbesök specialiserad somatisk vård annan vårdgivare, antal/1000 inv.
21	Andra besök än läkarbesök specialiserad somatisk vård, antal/1000 inv.
22	Andra besök än läkarbesök specialiserad somatisk vård egen prod, antal/1000 inv.
23	Anställda i förvaltningsform, antal
24	Anställda i landstingsägda bolag, antal
25	Anställda i privata bolag, antal
26	Anställda vid kommunala bibliotek, antal/10 000 inv
27	Arbetslöshet, (%)
28	Avgifter äldreomsorg, kr/inv 65+
29	Avlidna i 1-74 års ålder, antal/100 000 inv
30	Avlidna inom 28 dagar efter hjärtinfarkt, antal
31	Avlidna inom 3 månader efter stroke, antal/10 000 inv
32	Avlidna på sjukhus, andel (%)
33	Avskrivningar kommunkoncern, kr/inv
34	Avskrivningar kommun, kr/inv
35	Avskrivningar landsting, kr/inv
36	Avskrivningar landstingskoncern, kr/inv
37	Avsättningar koncernen, kr/inv
38	Avsättning för pensioner och löneskatt kommun, kr/inv
39	Avsättning för pensioner och löneskatt landsting, kr/inv
40	Avsättning för pensioner och löneskatt landstingskoncern, kr/inv
41	Avvikelse redovisad kostnad och strukturårsjusterad standardkostnad förskola och skolbarnsomsorg, andel (%)
42	Avvikelse redovisad kostnad och strukturårsjusterad standardkostnad grundskola,  andel (%)
