Variabelkod,Kommun,År,Värde
N20014,Ale,1998,4842.79531235
N20014,Ale,1999,5752.0
N20014,Ale,2000,5986.72790213
N20014,Ale,2001,6421.0
N20014,Ale,2002,5275.0
N20014,Ale,2003,5494.0
N20014,Ale,2004,5585.36
N20014,Ale,2005,5667.22
N20014,Ale,2006,5653.62
N20014,Ale,2007,6260.851912
N20014,Ale,2008,6426.4173041
N20014,Ale,2009,6303.93516829
N20014,Ale,2010,6441.002842
N20014,Ale,2011,7174.783334
N20014,Alingsås,2002,8529.0
N20014,Alingsås,2003,8767.0
N20014,Alingsås,2004,8649.79
N20014,Alingsås,2005,9028.27
N20014,Alingsås,2006,9226.31
N20014,Alingsås,2007,9710.49838047
N20014,Alingsås,2008,10334.094021
N20014,Alingsås,2009,9932.85352526
N20014,Alingsås,2010,10260.979998
N20014,Alingsås,2011,10145.481302
N20014,Alvesta,1998,7365.96381098
N20014,Alvesta,1999,8894.0
N20014,Alvesta,2000,9729.49355043
N20014,Alvesta,2001,9651.0
N20014,Alvesta,2002,8681.0
N20014,Alvesta,2003,9114.0
N20014,Alvesta,2004,9384.73
N20014,Alvesta,2005,9108.65
N20014,Alvesta,2006,8600.88
N20014,Alvesta,2007,9011.5573072
N20014,Alvesta,2008,9234.72703063
N20014,Alvesta,2009,10112.7579037
N20014,Alvesta,2010,9871.183917
N20014,Alvesta,2011,10324.787228
N20014,Aneby,2000,8255.77611494
N20014,Aneby,2001,8177.0
N20014,Aneby,2003,8475.0
N20014,Aneby,2004,8387.91
N20014,Aneby,2005,8118.77
N20014,Aneby,2006,8952.68
N20014,Aneby,2007,9094.22071934
N20014,Aneby,2008,9262.30262149
N20014,Aneby,2009,9266.05646913
N20014,Aneby,2010,9508.837791
N20014,Aneby,2011,9769.758379
N20014,Arboga,1998,7654.12863825
N20014,Arboga,1999,8239.0
N20014,Arboga,2000,8398.10894016
N20014,Arboga,2001,9476.0
N20014,Arboga,2002,8135.0
N20014,Arboga,2003,8881.0
N20014,Arboga,2004,8369.88
N20014,Arboga,2005,8341.93
N20014,Arboga,2006,8891.05
N20014,Arboga,2007,9227.1673274
N20014,Arboga,2008,9879.63311029
N20014,Arboga,2009,9749.51135168
N20014,Arboga,2010,9644.787354
N20014,Arboga,2011,9898.812209
N20014,Arjeplog,1998,11938.5044011
N20014,Arjeplog,2001,15511.0
N20014,Arjeplog,2002,12149.0
N20014,Arjeplog,2003,12702.0
N20014,Arjeplog,2004,13846.88
N20014,Arjeplog,2005,13668.88
N20014,Arjeplog,2006,15627.1
N20014,Arjeplog,2007,15725.1537714
N20014,Arjeplog,2008,16528.9256198
N20014,Arjeplog,2009,17275.214763
N20014,Arjeplog,2010,17419.171148
N20014,Arjeplog,2011,17402.376365
N20014,Arvidsjaur,1998,11378.1347251
N20014,Arvidsjaur,1999,12024.0
N20014,Arvidsjaur,2000,12319.1813095
N20014,Arvidsjaur,2001,12541.0
N20014,Arvidsjaur,2002,12069.0
N20014,Arvidsjaur,2003,13483.0
N20014,Arvidsjaur,2004,13448.4
N20014,Arvidsjaur,2005,14241.27
N20014,Arvidsjaur,2006,14246.94
N20014,Arvidsjaur,2007,14175.2332988
N20014,Arvidsjaur,2008,14979.1447862
N20014,Arvidsjaur,2009,14290.2446391
N20014,Arvidsjaur,2010,15409.251034
N20014,Arvidsjaur,2011,17032.953496
N20014,Arvika,1998,8845.84150685
N20014,Arvika,1999,9467.0
N20014,Arvika,2000,9721.7533985
N20014,Arvika,2001,9716.0
N20014,Arvika,2002,9485.0
N20014,Arvika,2003,10094.0
N20014,Arvika,2004,9774.52
N20014,Arvika,2005,9875.73
N20014,Arvika,2006,10081.78
N20014,Arvika,2007,10046.4761905
N20014,Arvika,2008,10609.3367971
N20014,Arvika,2009,10760.4214559
N20014,Arvika,2010,11267.76523
N20014,Arvika,2011,11812.019917
N20014,Askersund,1998,8705.91604413
N20014,Askersund,1999,9567.0
N20014,Askersund,2000,9833.45880312
N20014,Askersund,2001,10114.0
N20014,Askersund,2002,9292.0
N20014,Askersund,2003,9930.0
N20014,Askersund,2004,9792.21
N20014,Askersund,2005,10378.94
N20014,Askersund,2006,10997.73
N20014,Askersund,2007,11563.9810427
N20014,Askersund,2008,11689.1796944
N20014,Askersund,2009,11987.8836119
N20014,Askersund,2010,12466.394751
N20014,Askersund,2011,12338.153404
N20014,Avesta,1998,7583.00564615
N20014,Avesta,1999,8974.0
N20014,Avesta,2000,9361.8553743
N20014,Avesta,2001,9588.0
N20014,Avesta,2002,8354.0
N20014,Avesta,2003,8725.0
N20014,Avesta,2004,8431.31
N20014,Avesta,2005,8688.39
N20014,Avesta,2006,8674.5
N20014,Avesta,2007,9122.9553139
N20014,Avesta,2008,9778.82116971
N20014,Avesta,2009,10034.1420825
N20014,Avesta,2010,10543.344299
N20014,Avesta,2011,10976.17053
N20014,Bengtsfors,1998,10551.6722773
N20014,Bengtsfors,1999,10172.0
N20014,Bengtsfors,2000,11521.6131608
N20014,Bengtsfors,2001,12494.0
N20014,Bengtsfors,2002,12172.0
N20014,Bengtsfors,2003,11836.0
N20014,Bengtsfors,2004,12066.23
N20014,Bengtsfors,2005,12006.75
N20014,Bengtsfors,2006,12165.18
N20014,Bengtsfors,2007,11750.728131
N20014,Bengtsfors,2008,13188.9461453
N20014,Bengtsfors,2009,13169.5965857
N20014,Bengtsfors,2010,13836.788888
N20014,Bengtsfors,2011,13678.92562
N20014,Berg,1998,9811.15033876
N20014,Berg,1999,11067.0
N20014,Berg,2000,11996.6880734
N20014,Berg,2001,13303.0
N20014,Berg,2002,13276.0
N20014,Berg,2003,13714.0
N20014,Berg,2004,13971.85
N20014,Berg,2005,14967.65
N20014,Berg,2006,16406.61
N20014,Berg,2007,17741.3656736
N20014,Berg,2008,17528.341962
N20014,Berg,2009,17843.1583188
N20014,Berg,2010,17784.68444
N20014,Berg,2011,17607.896528
N20014,Bjurholm,1998,12685.8873894
N20014,Bjurholm,1999,13863.0
N20014,Bjurholm,2000,14741.3016698
N20014,Bjurholm,2001,16183.0
N20014,Bjurholm,2002,14874.0
N20014,Bjurholm,2003,16905.0
N20014,Bjurholm,2004,16398.81
N20014,Bjurholm,2005,17521.74
N20014,Bjurholm,2006,17630.85
N20014,Bjurholm,2007,17468.0266771
N20014,Bjurholm,2008,18213.036566
N20014,Bjurholm,2009,18564.4
N20014,Bjurholm,2010,18983.739837
N20014,Bjurholm,2011,19299.053887
N20014,Bjuv,2001,6754.0
N20014,Bjuv,2002,6422.0
N20014,Bjuv,2003,6547.0
N20014,Bjuv,2004,6620.92
N20014,Bjuv,2005,5944.6
N20014,Bjuv,2006,5846.61
N20014,Bjuv,2007,6412.92328956
N20014,Bjuv,2008,6916.71799083
N20014,Bjuv,2009,7475.12320259
N20014,Bjuv,2010,7854.322485
N20014,Bjuv,2011,8107.736853
N20014,Boden,1998,9030.86748072
N20014,Boden,1999,10573.0
N20014,Boden,2000,10687.9335402
N20014,Boden,2001,11319.0
N20014,Boden,2002,10131.0
N20014,Boden,2003,11258.0
N20014,Boden,2004,9980.57
N20014,Boden,2005,9830.03
N20014,Boden,2006,10423.72
N20014,Boden,2007,10042.2803362
N20014,Boden,2008,11072.9980025
N20014,Boden,2009,10639.0105079
N20014,Boden,2010,10577.081286
N20014,Boden,2011,11232.391564
N20014,Bollebygd,1998,5248.2079839
N20014,Bollebygd,1999,6470.0
N20014,Bollebygd,2000,6663.44089295
N20014,Bollebygd,2002,7384.0
