"","Kortnamn","Beskrivning","Kod"
"1","Årsarbetare  totalt, antal/1000 inv","Antal årsarbetare dividerat med antal invånare totalt 31/12, dividerat med 1000. Avser egen regi.","N00001"
"2","Årsarbetare  totalt, antal/1000 inv","Antal årsarbetare dividerat med antal invånare totalt 31/12, dividerat med 1000. Avser egen regi.","N00001"
"3","Personalkostnader som andel av verksamhetens kostnader, andel (%)","Personalkostnader kommunen totalt, dividerat med verksamhetens kostnader kommun. Avser egen regi.","N00002"
"4","Personalkostnader som andel av verksamhetens kostnader, andel (%)","Personalkostnader kommunen totalt, dividerat med verksamhetens kostnader kommun. Avser egen regi.","N00002"
"5","Personalkostnader, kr/inv","Personalkostnader kommunen totalt, dividerat med antal invånare totalt 31/12. Avser egen regi.","N00003"
"6","Personalkostnader, kr/inv","Personalkostnader kommunen totalt, dividerat med antal invånare totalt 31/12. Avser egen regi.","N00003"
"7","Utjämningssystemet enl resultaträkning, kr/inv","Kommunalekonomisk utjämning kommun, dividerat med antal invånare totalt 31/12 .","N00005"
"8","Utjämningssystemet enl resultaträkning, kr/inv","Kommunalekonomisk utjämning kommun, dividerat med antal invånare totalt 31/12 .","N00005"
"9","Momsavgift, kr/inv","Momsavgift, dividerat med antal invånare totalt 31/12","N00006"
"10","Invånarrelaterat bidrag, kr/inv (-2004)","Invånarrelaterat bidrag, kronor per invånare den 1/11 fg år.","N00007"
"11","Åldersrelaterat bidrag, kr/inv (-2004)","Åldersrelaterat bidrag i kronor per invånare den 1/11 fg år.","N00008"
"12","Intäkter kommunen totalt, kr/inv","Externa intäkter exklusive intäkter från försäljning till andra kommuner och landsting för mmunen totalt, dividerat med antal invånare 31/12.","N00009"
"13","Intäkter kommunen totalt, kr/inv","Externa intäkter exklusive intäkter från försäljning till andra kommuner och landsting för mmunen totalt, dividerat med antal invånare 31/12.","N00009"
"14","Inkomstutjämning, bidrag/avgift, kr/inv. 1 nov fg år","Inkomstutjämning, bidrag/avgift i kronor per invånare den 1/11 fg år","N00011"
"15","Inkomstutjämning, bidrag/avgift, kr/inv. 1 nov fg år","Inkomstutjämning, bidrag/avgift i kronor per invånare den 1/11 fg år","N00011"
"16","Kostnadsutjämning, bidrag/avgift, kr/inv","Kostnadsutjämning, bidrag/avgift i kronor per invånare den 1/11 nov fg år","N00012"
"17","Kostnadsutjämning, bidrag/avgift, kr/inv","Kostnadsutjämning, bidrag/avgift i kronor per invånare den 1/11 nov fg år","N00012"
"18","Generellt statsbidrag, kr/inv (-2004)","Generellt statsbidrag (-2004) i kronor per invånare den 1/11 fg år.","N00013"
"19","Regleringsbidrag/avgift, kr/inv (2005-)","Regleringsbidrag/avgift i kronor per invånare den1/11 fg år (2005-)","N00014"
"20","Regleringsbidrag/avgift, kr/inv (2005-)","Regleringsbidrag/avgift i kronor per invånare den1/11 fg år (2005-)","N00014"
"21","Införanderegler, kr/inv (-2004)","Införanderegler i kronor per invånare den 1/11 fg år.","N00015"
"22","Utjämningssystemet enl SCB, kr/inv","Utjämningssystemet enl SCB, kr/inv","N00016"
"23","Skillnad utjämningesystemet enl resultaträkning och SCB, kr/inv","Utjämningssystemet enligt SCB, kr/inv minus Kommunalekonomisk utjämning kommun, kr/inv","N00017"
"24","Skillnad utjämningesystemet enl resultaträkning och SCB, kr/inv","Utjämningssystemet enligt SCB, kr/inv minus Kommunalekonomisk utjämning kommun, kr/inv","N00017"
"25","Införandebidrag, kr/inv (2005-)","Införandebidrag i kronor per invånare den1/11 fg år (2005-)","N00018"
"26","Införandebidrag, kr/inv (2005-)","Införandebidrag i kronor per invånare den1/11 fg år (2005-)","N00018"
"27","Strukturbidrag, kr/inv (2005-)","Strukturbidrag i kronor per invånare den 1/11 fg år (2005-)","N00019"
"28","Strukturbidrag, kr/inv (2005-)","Strukturbidrag i kronor per invånare den 1/11 fg år (2005-)","N00019"
"29","Nivåjustering, kr/inv (-2004)","Nivåjustering i kronor per invånare den 1/11 fg år.","N00020"
"30","Intäkter egentlig verksamhet, kr/inv","Externa intäkter exklusive intäkter från försäljning till andra kommuner och landsting för egentlig verksamhet, dividerat med antal invånare 31/12.","N00021"
"31","Intäkter egentlig verksamhet, kr/inv","Externa intäkter exklusive intäkter från försäljning till andra kommuner och landsting för egentlig verksamhet, dividerat med antal invånare 31/12.","N00021"
"32","Kostnadsutj.netto: förskola och skolbarnsomsorg, kr/inv. 1 nov fg år","Kostnadsutj.netto: förskola och skolbarnsomsorg, tkr dividerat med antal invånare totalt 1/11 nov fg år","N00022"
"33","Kostnadsutj.netto: förskola och skolbarnsomsorg, kr/inv. 1 nov fg år","Kostnadsutj.netto: förskola och skolbarnsomsorg, tkr dividerat med antal invånare totalt 1/11 nov fg år","N00022"
"34","Kostnadsutj.netto: Grundskola, kr/inv. 1 nov fg år","Kostnadsutj.netto: Grundskola, tkr dividerat med antal invånare totalt 1/11 nov fg år","N00023"
