Kommun;Nyckeltal;År;Visat_Värde
Alla kommuner (ovägt medel);Arbetslöshet, (%);2000;6.76133194
Alla kommuner (ovägt medel);Arbetslöshet, (%);2001;5.74270243
Alla kommuner (ovägt medel);Arbetslöshet, (%);2002;5.48556385
Alla kommuner (ovägt medel);Arbetslöshet, (%);2003;5.46898598
Alla kommuner (ovägt medel);Arbetslöshet, (%);2004;5.89651588
Alla kommuner (ovägt medel);Arbetslöshet, (%);2005;6.37053836
Alla kommuner (ovägt medel);Arbetslöshet, (%);2006;6.13995572
Alla kommuner (ovägt medel);Arbetslöshet, (%);2007;4.45924021
Alla kommuner (ovägt medel);Arbetslöshet, (%);2008;3.83894583
Alla kommuner (ovägt medel);Arbetslöshet, (%);2009;6.15556617
Alla kommuner (ovägt medel);Arbetslöshet, (%);2010;8.01738872
Alla kommuner (ovägt medel);Arbetslöshet, (%);2011;6.99765432
Alla kommuner (ovägt medel);Arbetslöshet, (%);2012;7.06254083
Alla kommuner (ovägt medel);Invånare 0-64 år, andel (%);2000;81.0983624
Alla kommuner (ovägt medel);Invånare 0-64 år, andel (%);2001;81.03427373
Alla kommuner (ovägt medel);Invånare 0-64 år, andel (%);2002;81.00042215
Alla kommuner (ovägt medel);Invånare 0-64 år, andel (%);2003;80.93557866
Alla kommuner (ovägt medel);Invånare 0-64 år, andel (%);2004;80.75911453
Alla kommuner (ovägt medel);Invånare 0-64 år, andel (%);2005;80.60456068
Alla kommuner (ovägt medel);Invånare 0-64 år, andel (%);2006;80.43840524
Alla kommuner (ovägt medel);Invånare 0-64 år, andel (%);2007;80.16184737
Alla kommuner (ovägt medel);Invånare 0-64 år, andel (%);2008;79.75535502
Alla kommuner (ovägt medel);Invånare 0-64 år, andel (%);2009;79.24419911
Alla kommuner (ovägt medel);Invånare 0-64 år, andel (%);2010;78.71913063
Alla kommuner (ovägt medel);Invånare 0-64 år, andel (%);2011;78.16939513
Alla kommuner (ovägt medel);Kostnad ekonomiskt bistånd, kr/inv;2000;911.560891
Alla kommuner (ovägt medel);Kostnad ekonomiskt bistånd, kr/inv;2001;708.7360755
Alla kommuner (ovägt medel);Kostnad ekonomiskt bistånd, kr/inv;2002;697.5990962
Alla kommuner (ovägt medel);Kostnad ekonomiskt bistånd, kr/inv;2003;699.8861427
Alla kommuner (ovägt medel);Kostnad ekonomiskt bistånd, kr/inv;2004;739.5683127
Alla kommuner (ovägt medel);Kostnad ekonomiskt bistånd, kr/inv;2005;749.4267038
Alla kommuner (ovägt medel);Kostnad ekonomiskt bistånd, kr/inv;2006;731.0261051
Alla kommuner (ovägt medel);Kostnad ekonomiskt bistånd, kr/inv;2007;729.5843815
Alla kommuner (ovägt medel);Kostnad ekonomiskt bistånd, kr/inv;2008;782.2248979
Alla kommuner (ovägt medel);Kostnad ekonomiskt bistånd, kr/inv;2009;927.0047229
Alla kommuner (ovägt medel);Kostnad ekonomiskt bistånd, kr/inv;2010;1011.867702
Alla kommuner (ovägt medel);Kostnad ekonomiskt bistånd, kr/inv;2011;1045.294459
Alla kommuner (ovägt medel);Kostnad ekonomiskt bistånd, kr/inv 0-64 år;2000;1121.298621
Alla kommuner (ovägt medel);Kostnad ekonomiskt bistånd, kr/inv 0-64 år;2001;873.1695616
Alla kommuner (ovägt medel);Kostnad ekonomiskt bistånd, kr/inv 0-64 år;2002;859.0158765
